brand,model,year,transmission,mileage,fuelType,tax,mpg,engineSize,price
0,51,2015,3,20825,4,145,47.9,1.4,19995
0,8,2015,1,20042,4,30,57.6,1.4,12995
0,50,2019,1,3657,0,145,49.6,1.6,22663
0,50,2019,1,4502,0,145,47.9,1.6,24368
0,11,2017,3,31214,0,30,67.3,2.0,19495
0,50,2018,1,16414,4,145,50.4,1.4,19990
0,50,2018,1,27198,4,145,50.4,1.4,21495
0,10,2018,3,17166,4,145,43.5,2.0,28995
0,10,2018,3,18283,4,145,44.1,2.0,26990
0,52,2018,3,15076,0,145,56.5,2.0,27995
0,52,2017,3,29330,0,145,56.5,2.0,25995
0,50,2017,1,25520,4,145,50.4,1.4,19995
0,11,2020,3,7521,0,145,49.6,2.0,38534
0,14,2019,3,933,0,145,45.6,2.0,41995
0,10,2019,3,6018,0,145,52.3,1.6,19990
0,10,2019,1,11330,4,145,42.8,1.5,18495
0,52,2016,3,23478,0,235,42.2,3.0,33995
0,50,2017,1,17872,0,145,64.2,1.6,18995
0,12,2019,3,4327,4,145,39.8,2.0,30709
0,53,2019,3,4813,0,145,33.2,3.0,48136
0,50,2019,1,3578,0,145,47.9,1.6,24365
0,13,2019,3,4196,0,145,47.9,2.0,33295
0,8,2015,1,32065,4,30,55.4,1.4,13995
0,15,2017,3,15072,0,200,47.1,3.0,28995
0,51,2017,1,50286,0,145,61.4,2.0,16490
0,51,2017,3,25667,4,145,40.4,2.0,23995
0,53,2017,3,33165,0,200,47.9,3.0,35995
0,50,2017,1,27078,4,125,50.4,1.4,19995
0,50,2017,1,29874,4,125,50.4,1.4,19995
0,52,2015,3,28977,0,200,47.1,2.0,21995
0,51,2016,3,28526,0,160,50.4,2.0,21995
0,51,2017,1,14068,0,145,54.3,2.0,22995
0,10,2018,1,6321,4,145,50.4,2.0,18990
0,15,2018,3,4440,4,145,37.7,3.0,40990
0,10,2019,1,2085,0,145,51.4,1.6,23995
0,52,2019,3,2712,0,145,38.2,2.0,37995
0,13,2019,3,3968,0,145,47.9,2.0,33410
0,50,2019,1,6921,4,145,47.1,1.0,22997
0,10,2015,1,50062,4,30,57.6,1.2,14995
0,8,2015,1,31500,4,30,57.6,1.4,11995
0,8,2015,1,21807,4,30,57.6,1.4,12995
0,12,2019,3,7215,0,145,46.3,2.0,27990
0,13,2019,3,5397,0,145,50.4,2.0,29990
0,10,2019,1,4963,4,145,42.8,1.5,23377
0,10,2017,1,13688,4,200,40.4,2.0,25995
0,10,2017,3,19735,4,30,57.6,1.4,18995
0,51,2017,3,22175,4,145,47.9,1.4,20995
0,11,2018,3,13907,4,145,49.6,1.4,23995
0,8,2018,1,20106,4,145,67.3,1.0,14495
0,52,2018,3,7891,4,145,40.9,2.0,30995
0,11,2019,3,4836,0,145,48.7,2.0,26490
0,12,2019,1,4587,4,145,37.2,2.0,34259
